_id,ltable_ID,rtable_ID,ltable_Name,ltable_Category,ltable_Author,ltable_Price,ltable_Series,ltable_Pages,ltable_Publisher,ltable_Date,ltable_Language,ltable_ISBN_10,ltable_ISBN_13,ltable_Dimensions,ltable_Weight,rtable_Name,rtable_Category,rtable_Author,rtable_Price,rtable_Series,rtable_Pages,rtable_Publisher,rtable_Date,rtable_Language,rtable_ISBN_10,rtable_ISBN_13,rtable_Dimensions,rtable_Weight,label
144,229,113,The Measurements of Decay,Science Fiction : Space Opera,K K Edin,$13.21,,588 pages,Metempsy Publications,"""March 6, 2018""",English,1732062226,978-1732062221,6 x 1.3 x 9 inches,1.9 pounds,The Measurements of Decay,Science Fiction - Space Opera,K. K. Edin,$19.99,,588,Metempsy Publications,March 2018,,1732062226,9781732062221,9 x 6 x 1.31 inches,1.88 pounds,1
145,177,114,Advocate: Consortium: Episode 2,Science Fiction : Space Opera,Andrew M. Friday,$6.80,Consortium,128 pages,CreateSpace Independent Publishing Platform,"""March 16, 2018""",English,1543005241,978-1543005240,5 x 0.3 x 8 inches,6.9 ounces,Advocate  :  Consortium: Episode 2,Science Fiction - Space Opera,Andrew M. Friday,$6.80,,128,Createspace Independent Publishing Platform,March 2018,,1543005241,9781543005240,8 x 5 x 0.27 inches,0.29 pounds,1
154,178,119,Rocket Babe: Reflection,Science Fiction : Space Opera,Stephen R DeArman,$15.95,,266 pages,Outskirts Press,"""March 15, 2018""",English,1478796472,978-1478796473,6 x 0.6 x 9 inches,13.9 ounces,Rocket Babe  :  Reflection,Science Fiction - Space Opera,Stephen R. Dearman,$15.95,,266,Outskirts Press,March 2018,,1478796472,9781478796473,9 x 6 x 0.6 inches,0.87 pounds,1
163,248,126,Vexing The Beast (Vexing The Beast Series) (Volume 1),Science Fiction : Space Opera,V. Joseph Guy,$18.00,Vexing The Beast Series,518 pages,CreateSpace Independent Publishing Platform; 1st edition,"""March 1, 2018""",English,1975604393,978-1975604394,6 x 1.3 x 9 inches,1.9 pounds,Vexing the Beast,Science Fiction - Space Opera,V. Joseph Guy,$18.00,,518,Createspace Independent Publishing Platform,March 2018,,1975604393,9781975604394,9.02 x 5.98 x 1.15 inches,1.66 pounds,1
172,383,134,The Faultless Blade (Lucius the Eternal),Science Fiction : Space Opera,Ian St. Martin,$11.00,Lucius the Eternal (Book 1),368 pages,Games Workshop,"""February 6, 2018""",English,178496641X,978-1784966416,5.1 x 0.9 x 7.8 inches,9 ounces,The Faultless Blade,Science Fiction - Space Opera,Ian St Martin,$11.84,,368,Games Workshop,February 2018,,178496641X,9781784966416,7.8 x 5.3 x 1 inches,0.55 pounds,1
182,395,140,"""J.J Abrams Inspired Adult Coloring Book: Star Wars and Star Trek Mastermind, Emmy Award Winner and A List Director Inspired Adult Coloring Book (J.J Abrams Books)""",Science Fiction : Space Opera,Minnie Miller,$10.00,J.J Abrams Books,36 pages,CreateSpace Independent Publishing Platform,"""February 5, 2018""",English,1985157187,978-1985157187,6 x 0.1 x 9 inches,3.7 ounces,"""J.J Abrams Inspired Adult Coloring Book  :  Star Wars and Star Trek MasterMind, Emmy Award Winner and a List Director Inspired Adult Coloring Book""",Science Fiction - Space Opera,Minnie Miller,$10.00,,36,Createspace Independent Publishing Platform,February 2018,,1985157187,9781985157187,9 x 6 x 0.07 inches,0.14 pounds,1
188,343,146,Book Night on Union Station (EarthCent Ambassador),Science Fiction : Space Opera,E. M. Foner,$9.95,EarthCent Ambassador (Book 13),258 pages,Foner Books,"""February 14, 2018""",English,1948691027,978-1948691024,6 x 0.6 x 9 inches,13.6 ounces,Book Night on Union Station,Science Fiction - Space Opera,E. M. Foner,$9.95,,258,Foner Books,February 2018,,1948691027,9781948691024,9 x 6 x 0.58 inches,0.84 pounds,1
213,358,155,Starship Conquest (Stellar Conquest Series) (Volume 1),Science Fiction : Space Opera,David VanDyke,$9.95,Stellar Conquest Series,224 pages,David VanDyke,"""February 11, 2018""",English,162626239X,978-1626262393,5.2 x 0.6 x 8 inches,11.4 ounces,Starship Conquest,Science Fiction - Space Opera,David Vandyke,$9.95,,224,David Vandyke,February 2018,,162626239X,9781626262393,8 x 5.25 x 0.51 inches,0.57 pounds,1
221,341,164,Family Night on Union Station (EarthCent Ambassador),Science Fiction : Space Opera,E. M. Foner,$9.95,EarthCent Ambassador (Book 12),252 pages,Foner Books,"""February 14, 2018""",English,1948691019,978-1948691017,6 x 0.6 x 9 inches,13.4 ounces,Review Night on Union Station,Science Fiction - Space Opera,E. M. Foner,$9.95,,254,Foner Books,February 2018,,1948691000,9781948691000,9 x 6 x 0.58 inches,0.83 pounds,0
231,333,169,The Atlas Array,Science Fiction : Space Opera,B L Barger,$24.76,,412 pages,Dorrance Publishing Co.,"""February 15, 2018""",English,1480953695,978-1480953697,6 x 0.8 x 9 inches,1.3 pounds,The Atlas Array,Science Fiction - Space Opera,B. L. Barger,$24.00,,412,Dorrance Publishing Co.,February 2018,,1480953695,9781480953697,9 x 6 x 0.84 inches,1.21 pounds,1
234,610,170,A Memory of Earth: Children of Earthrise Book 2,Science Fiction : Space Opera,Daniel Arenson,$12.59,Children of Earthrise (Book 2),334 pages,CreateSpace Independent Publishing Platform,"""December 28, 2017""",English,198207180X,978-1982071806,6 x 0.8 x 9 inches,1.3 pounds,An Echo of Earth  :  Children of Earthrise Book 3,Science Fiction - Space Opera,Daniel Arenson,$14.99,,374,Createspace Independent Publishing Platform,February 2018,,1985024187,9781985024182,9 x 6 x 0.83 inches,1.21 pounds,0
242,333,175,The Atlas Array,Science Fiction : Space Opera,B L Barger,$24.76,,412 pages,Dorrance Publishing Co.,"""February 15, 2018""",English,1480953695,978-1480953697,6 x 0.8 x 9 inches,1.3 pounds,The Sirius Connection,Science Fiction - Space Opera,B. L. Barger,$22.00,,348,Dorrance Publishing Co.,February 2018,,1480953709,9781480953703,9 x 6 x 0.72 inches,1.03 pounds,0
249,286,178,Mental Contact,Science Fiction : Space Opera,Beth Martin,$12.99,,200 pages,CreateSpace Independent Publishing Platform,"""February 25, 2018""",English,1975785002,978-1975785000,5.2 x 0.5 x 8 inches,10.2 ounces,Mental Contact,Science Fiction - Space Opera,Beth Martin,$12.99,,200,Createspace Independent Publishing Platform,February 2018,,1975785002,9781975785000,7.99 x 5.24 x 0.46 inches,0.51 pounds,1
266,343,189,Book Night on Union Station (EarthCent Ambassador),Science Fiction : Space Opera,E. M. Foner,$9.95,EarthCent Ambassador (Book 13),258 pages,Foner Books,"""February 14, 2018""",English,1948691027,978-1948691024,6 x 0.6 x 9 inches,13.6 ounces,Family Night on Union Station,Science Fiction - Space Opera,E. M. Foner,$9.95,,252,Foner Books,February 2018,,1948691019,9781948691017,9 x 6 x 0.57 inches,0.82 pounds,0
273,293,194,The Language of Power (Steerswoman Series) (Volume 4),Science Fiction : Space Opera,Rosemary Kirstein,$13.95,Steerswoman Series,290 pages,Rosemary Kirstein; 1 edition,"""February 23, 2018""",English,991354672,978-0991354672,6 x 0.7 x 9 inches,1.1 pounds,The Language of Power,Science Fiction - Space Opera,Rosemary Kirstein,$13.95,,292,Rosemary Kirstein,February 2018,,991354672,9780991354672,9.02 x 5.98 x 0.61 inches,0.87 pounds,1
274,526,195,Grendel Unit,Science Fiction : Space Opera,Bernard Schaffer,$24.99,,648 pages,CreateSpace Independent Publishing Platform; 2 edition,"""January 12, 2018""",English,198381072X,978-1983810725,6 x 1.5 x 9 inches,2.4 pounds,Grendel Unit,Science Fiction - Space Opera,Bernard Schaffer,$24.99,,648,Createspace Independent Publishing Platform,January 2018,,198381072X,9781983810725,9 x 6 x 1.3 inches,1.88 pounds,1
275,514,196,Immaculate Killers (Guns of Seneca 6) (Volume 3),Science Fiction : Space Opera,Bernard Schaffer,$12.99,Guns of Seneca 6,176 pages,CreateSpace Independent Publishing Platform,"""January 14, 2018""",English,198387180X,978-1983871801,6 x 0.4 x 9 inches,11.4 ounces,Immaculate Killers,Science Fiction - Space Opera,Bernard Schaffer,$12.99,,176,Createspace Independent Publishing Platform,January 2018,,198387180X,9781983871801,9 x 6 x 0.38 inches,0.54 pounds,1
304,446,207,Grey Legion (Genetic Legacy) (Volume 1),Science Fiction : Space Opera,Craig Johnson,$9.00,Genetic Legacy (Book 1),214 pages,CreateSpace Independent Publishing Platform; 1 edition,"""January 24, 2018""",English,1983460850,978-1983460852,6 x 0.5 x 9 inches,13.6 ounces,Grey Legion,Science Fiction - Space Opera,Craig Johnson,$9.00,,216,Createspace Independent Publishing Platform,January 2018,,1983460850,9781983460852,9 x 6 x 0.46 inches,0.65 pounds,1
305,590,208,Sojourn: Apocalypse: Volume IV (Volume 4),Science Fiction : Space Opera,Fidus Jungsturm,$19.95,Sojourn,184 pages,CreateSpace Independent Publishing Platform,"""January 2, 2018""",English,1983488062,978-1983488061,8.5 x 0.4 x 11 inches,1.2 pounds,Sojourn  :  Apocalypse: Volume IV,Science Fiction - Space Opera,Fidus Jungsturm,$19.95,,184,Createspace Independent Publishing Platform,January 2018,,1983488062,9781983488061,11 x 8.5 x 0.39 inches,0.97 pounds,1
314,574,213,Legion III: Kings of Oblivion (Deluxe Edition) (The Shattering) (Volume 3),Science Fiction : Space Opera,Van Allen Plexico,,The Shattering (Book 3),340 pages,CreateSpace Independent Publishing Platform; 3 edition,"""January 6, 2018""",English,1983637424,978-1983637421,6 x 0.8 x 9 inches,1.3 pounds,Legion III  :  Kings of Oblivion (Deluxe Edition),Science Fiction - Space Opera,Van Allen Plexico,$15.95,,340,Createspace Independent Publishing Platform,January 2018,,1983637424,9781983637421,9 x 6 x 0.76 inches,1.1 pounds,1
326,495,222,The Skylark of Space,Science Fiction : Space Opera,"E.E. ""Doc"" Smith and Lee Hawkins Garby",$14.99,,280 pages,Vintage Sci-Fi Classics,"""January 17, 2018""",English,1528703162,978-1528703161,5.5 x 0.6 x 8.5 inches,12.6 ounces,The Skylark of Space,Science Fiction - Space Opera,"E. E. ""Doc"" Smith and Lee Hawkins Gar",$14.99,,280,Vintage Sci-Fi Classics,January 2018,,1528703162,9781528703161,8.5 x 5.5 x 0.63 inches,0.79 pounds,1
331,2344,225,The Good Samaritan,Psychological Thrillers,John Marrs,$15.95,,400 pages,Thomas & Mercer,"""April 12, 2018""",English,1503903362,978-1503903364,5.5 x 1 x 8.2 inches,1.3 pounds,The Ultimate Weapon,Science Fiction - Space Opera,Jr. John W. Campbell,$9.99,,106,Vintage Sci-Fi Classics,January 2018,,1528703294,9781528703291,8.5 x 5.5 x 0.25 inches,0.32 pounds,0
335,484,226,The Colors of Space,Science Fiction : Space Opera,Marion Zimmer Bradley,$12.99,,156 pages,Vintage Sci-Fi Classics,"""January 17, 2018""",English,1528703421,978-1528703420,5.5 x 0.4 x 8.5 inches,7.4 ounces,The Door Through Space,Science Fiction - Space Opera,Marion Zimmer Bradley,$12.99,,140,Vintage Sci-Fi Classics,January 2018,,1528703308,9781528703307,8.5 x 5.5 x 0.33 inches,0.41 pounds,0
338,2535,227,The Secret Places of the Heart,Psychological Thrillers,H. G. Wells,$6.20,,126 pages,CreateSpace Independent Publishing Platform,"""February 15, 2018""",English,1985583240,978-1985583245,6 x 0.3 x 9 inches,8.6 ounces,The Planet of Doubt,Science Fiction - Space Opera,Stanley G. Weinbaum,$9.99,,42,Vintage Sci-Fi Classics,January 2018,,1528703383,9781528703383,8.5 x 5.5 x 0.1 inches,0.14 pounds,0
343,1902,229,The Traveller and Chaos,Fantasy : Dark,Harry J. Bentham,,,295 pages,Independently published,"""November 25, 2017""",English,1973387190,978-1973387190,5 x 0.7 x 8 inches,13.8 ounces,The K-Factor,Science Fiction - Space Opera,Harry Harrison,$9.99,,42,Vintage Sci-Fi Classics,January 2018,,1528703502,9781528703505,8.5 x 5.5 x 0.1 inches,0.14 pounds,0
344,2365,229,The Solitary Twin,Psychological Thrillers,Harry Mathews,$15.95,,160 pages,New Directions,"""March 27, 2018""",English,811227545,978-0811227544,5.2 x 0.4 x 8 inches,4.8 ounces,The K-Factor,Science Fiction - Space Opera,Harry Harrison,$9.99,,42,Vintage Sci-Fi Classics,January 2018,,1528703502,9781528703505,8.5 x 5.5 x 0.1 inches,0.14 pounds,0
347,548,230,Dark Matter: Code Red,Science Fiction : Space Opera,Taylor W Wilson,$9.99,Dark Matter,254 pages,CreateSpace Independent Publishing Platform; 1 edition,"""January 9, 2018""",English,1546681744,978-1546681748,5.5 x 0.6 x 8.5 inches,13.9 ounces,Dark Matter  :  Code Red,Science Fiction - Space Opera,Taylor W. Wilson,$9.99,,256,Createspace Independent Publishing Platform,January 2018,,1546681744,9781546681748,8.5 x 5.51 x 0.58 inches,0.72 pounds,1
348,596,231,Gateway (Gateway Universe),Science Fiction : Space Opera,Brian Dorsey,$10.37,Gateway Universe (Book 1),,Mountaineer West Productions,"""January 1, 2018""",English,692991417,978-0692991411,4.2 x 0.9 x 7 inches,10.4 ounces,Gateway,Science Fiction - Space Opera,Brian Dorsey,$13.00,,396,Mountaineer West Productions,January 2018,,692991417,9780692991411,7 x 4.25 x 0.88 inches,0.7 pounds,1
349,412,232,Biom Alpha (German Edition),Science Fiction : Space Opera,Uwe Post and Frederic Brake,$20.50,,254 pages,Books on Demand,"""January 31, 2018""",German,3746069084,978-3746069081,5 x 0.6 x 8 inches,9.9 ounces,Biom Alpha,Science Fiction - Space Opera,Uwe Post and Frederic Brake and Uwe Hermann,$20.50,,254,Books on Demand,January 2018,,3746069084,9783746069081,8 x 5 x 0.58 inches,0.61 pounds,1
365,493,240,The Winds of Time,Science Fiction : Space Opera,James H. Schmitz,$9.99,,52 pages,Vintage Sci-Fi Classics,"""January 17, 2018""",English,1528703251,978-1528703253,5.5 x 0.1 x 8.5 inches,2.9 ounces,Time Travel,Science Fiction - Space Opera,H. E. Sommers,$10.75,,280,Createspace Independent Publishing Platform,January 2018,,1984375768,9781984375766,8 x 5 x 0.59 inches,0.62 pounds,0
391,398,258,The Black Star Passes: Large Print,Science Fiction : Space Opera,Jr. John W. Campbell,$17.99,,358 pages,CreateSpace Independent Publishing Platform,"""February 4, 2018""",English,1985009366,978-1985009363,8.5 x 0.8 x 11 inches,2.2 pounds,The Black Star Passes,Science Fiction - Space Opera,Jr. John W. Campbell,$12.99,,230,Vintage Sci-Fi Classics,January 2018,,1528703286,9781528703284,8.5 x 5.5 x 0.52 inches,0.65 pounds,0
403,1916,267,The Voyage of Odysseus,Fantasy : Dark,Jacob Moore,$13.89,,142 pages,Mirador Publishing,"""November 22, 2017""",English,1912192853,978-1912192854,6 x 0.3 x 9 inches,7.7 ounces,The Music of Mars,Science Fiction - Space Opera,George G. Moore,$15.99,,300,Year of the Book Press,January 2018,,1945670703,9781945670701,9.02 x 5.98 x 0.67 inches,0.97 pounds,0
428,489,279,Diplomatic Immunity,Science Fiction : Space Opera,Robert Sheckley,$9.99,,38 pages,Vintage Sci-Fi Classics,"""January 17, 2018""",English,1528703316,978-1528703314,5.5 x 0.1 x 8.5 inches,2.2 ounces,Diplomatic Immunity,Science Fiction - Space Opera,Robert Sheckley,$9.99,,38,Vintage Sci-Fi Classics,January 2018,,1528703316,9781528703314,8.5 x 5.5 x 0.09 inches,0.13 pounds,1
432,499,281,Parasite Planet,Science Fiction : Space Opera,Stanley G. Weinbaum,$9.99,,46 pages,Vintage Sci-Fi Classics,"""January 17, 2018""",English,1528703456,978-1528703451,5.5 x 0.1 x 8.5 inches,2.6 ounces,Parasite Planet,Science Fiction - Space Opera,Stanley G. Weinbaum,$9.99,,46,Vintage Sci-Fi Classics,January 2018,,1528703456,9781528703451,8.5 x 5.5 x 0.11 inches,0.15 pounds,1
440,414,285,Missionary To The Stars: The Brethren Saga,Science Fiction : Space Opera,Stephen A Goodale,$15.00,,276 pages,CreateSpace Independent Publishing Platform; 1 edition,"""January 31, 2018""",English,1984364545,978-1984364548,6 x 0.6 x 9 inches,1.1 pounds,Missionary to the Stars  :  The Brethren Saga,Science Fiction - Space Opera,Stephen a. Goodale,$15.00,,278,Createspace Independent Publishing Platform,January 2018,,1984364545,9781984364548,9 x 6 x 0.58 inches,0.83 pounds,1
456,735,299,The Wreck: The Atlantis Chronicles (Volume 2),Science Fiction : Space Opera,Michael Brown and Myles Edmundson,$12.00,The Atlantis Chronicles (Book 2),172 pages,CreateSpace Independent Publishing Platform,"""December 4, 2017""",English,1981374531,978-1981374533,6 x 0.4 x 9 inches,11.2 ounces,The Wreck  :  The Atlantis Chronicles,Science Fiction - Space Opera,Michael Brown and Myles Edmundson,$12.00,,174,Createspace Independent Publishing Platform,December 2017,,1981374531,9781981374533,9 x 6 x 0.37 inches,0.53 pounds,1
482,657,320,Murder on Moon Trek 1 (Outer Space Mysteries) (Volume 1),Science Fiction : Space Opera,Diane Vallere,$12.00,Outer Space Mysteries,206 pages,Polyester Press,"""December 17, 2017""",English,1939197406,978-1939197405,6 x 0.5 x 9 inches,13.6 ounces,Murder on Moon Trek 1  :  A Sylvia Stryker Outer Space Mystery,Science Fiction - Space Opera,Diane Vallere,$12.00,,216,Polyester Press,December 2017,,1939197406,9781939197405,9 x 6 x 0.49 inches,0.71 pounds,1
496,3,333,The Crimson King (The Horus Heresy),Science Fiction : Space Opera,Graham McNeill,$9.99,The Horus Heresy,480 pages,Games Workshop,"""December 25, 2018""",English,178496834X,978-1784968342,4.2 x 6.7 inches,1.1 pounds,The Crimson King,Science Fiction - Space Opera,Graham McNeill,$15.11,,464,Games Workshop,December 2017,,1784966193,9781784966195,9.2 x 6.1 x 1.3 inches,1.3 pounds,0
499,693,335,Odysseus Awakening (Odyssey One),Science Fiction : Space Opera,Evan Currie,$5.99,Odyssey One (Book 6),320 pages,47North,"""December 12, 2017""",English,1542048478,978-1542048477,5.5 x 1 x 8.2 inches,11.7 ounces,Odysseus Awakening,Science Fiction - Space Opera,Evan Currie,$14.95,,320,47north,December 2017,,1542048478,9781542048477,8.2 x 5.4 x 0.9 inches,0.79 pounds,1
517,718,343,The Woman Who Seized an Empire (The Warlord) (Volume 2),Science Fiction : Space Opera,M. D. Cooper,$12.99,The Warlord (Book 2),330 pages,CreateSpace Independent Publishing Platform,"""December 7, 2017""",English,1981996451,978-1981996452,5.2 x 0.8 x 8 inches,15.8 ounces,The Woman Who Seized an Empire,Science Fiction - Space Opera,M. D. Cooper,$12.99,,330,Createspace Independent Publishing Platform,December 2017,,1981996451,9781981996452,8 x 5.25 x 0.74 inches,0.83 pounds,1
538,670,358,Birth Of A Goddess (Descendants Series) (Volume 4),Science Fiction : Space Opera,Mark T Bacome,$19.99,Descendants Series (Book 4),536 pages,CreateSpace Independent Publishing Platform,"""December 15, 2017""",English,154684418X,978-1546844181,6 x 1.3 x 9 inches,2 pounds,Birth of a Goddess,Science Fiction - Space Opera,Mark T. Bacome,$19.99,,538,Createspace Independent Publishing Platform,December 2017,,154684418X,9781546844181,9.02 x 5.98 x 1.2 inches,1.72 pounds,1
543,681,362,Echoes from Yesterday (Pirates of the Badlands) (Volume 4),Science Fiction : Space Opera,Sean Benjamin,$18.68,Pirates of the Badlands (Book 4),552 pages,CreateSpace Independent Publishing Platform; 1 edition,"""December 14, 2017""",English,1981435735,978-1981435739,5 x 1.2 x 8 inches,1.5 pounds,Echoes from Yesterday,Science Fiction - Space Opera,Sean Benjamin,$18.68,,552,Createspace Independent Publishing Platform,December 2017,,1981435735,9781981435739,8 x 5 x 1.12 inches,1.19 pounds,1
545,859,364,Wrath of Angels (Sins of Angels),Science Fiction : Space Opera,Matt Larkin and J.S. Morin,,Sins of Angels (Book 4),225 pages,Magical Scrivener Press,"""November 10, 2017""",English,1942642547,978-1942642541,5.5 x 0.6 x 8.5 inches,12.5 ounces,Shadows of Angels,Science Fiction - Space Opera,Matt Larkin and J. S. Morin,$16.99,,180,Magical Scrivener Press,November 2017,,1942642482,9781942642480,8.5 x 5.5 x 0.41 inches,0.52 pounds,0
553,776,367,The Cruel Stars (Ark Royal) (Volume 11),Science Fiction : Space Opera,Christopher G Nuttall and Justin Adams,$14.00,Ark Royal (Book 11),368 pages,CreateSpace Independent Publishing Platform,"""November 28, 2017""",English,1979807183,978-1979807180,6 x 0.8 x 9 inches,1.4 pounds,The Cruel Stars,Science Fiction - Space Opera,Christopher G. Nuttall and Justin Adams,$14.00,,370,Createspace Independent Publishing Platform,November 2017,,1979807183,9781979807180,9 x 6 x 0.77 inches,1.09 pounds,1
558,832,370,Dark Deeds (Keiko),Science Fiction : Space Opera,Mike Brooks,$11.59,Keiko (Book 3),336 pages,Saga Press,"""November 14, 2017""",English,1534405445,978-1534405448,5.5 x 0.9 x 8.2 inches,10.1 ounces,Dark Deeds,Science Fiction - Space Opera,Mike Brooks,$16.99,,336,Saga Press,November 2017,,1534405445,9781534405448,8.2 x 5.4 x 1 inches,0.61 pounds,1
566,901,376,"""Privateer: Alexis Carew ,5 (Volume 5)""",Science Fiction : Space Opera,J A Sutherland,$17.99,Alexis Carew (Book 5),478 pages,CreateSpace Independent Publishing Platform,"""November 1, 2017""",English,1977820913,978-1977820914,6 x 1.2 x 9 inches,1.8 pounds,"""Privateer  :  Alexis Carew ,5""",Science Fiction - Space Opera,J. a. Sutherland,$17.99,,478,Createspace Independent Publishing Platform,November 2017,,1977820913,9781977820914,9 x 6 x 1.06 inches,1.53 pounds,1
576,858,381,Fall of Angels (Sins of Angels),Science Fiction : Space Opera,Matt Larkin and J.S. Morin,,Sins of Angels (Book 5),214 pages,Magical Scrivener Press,"""November 10, 2017""",English,1942642571,978-1942642572,5.5 x 0.5 x 8.5 inches,12 ounces,Voices of Angels,Science Fiction - Space Opera,Matt Larkin and J. S. Morin,$16.99,,232,Magical Scrivener Press,November 2017,,1942642512,9781942642510,8.5 x 5.5 x 0.53 inches,0.66 pounds,0
578,862,381,Voices of Angels (Sins of Angels),Science Fiction : Space Opera,Matt Larkin and J.S. Morin,,Sins of Angels (Book 3),231 pages,Magical Scrivener Press,"""November 10, 2017""",English,1942642512,978-1942642510,5.5 x 0.6 x 8.5 inches,12.8 ounces,Voices of Angels,Science Fiction - Space Opera,Matt Larkin and J. S. Morin,$16.99,,232,Magical Scrivener Press,November 2017,,1942642512,9781942642510,8.5 x 5.5 x 0.53 inches,0.66 pounds,1
