_id,ltable_ID,rtable_ID,ltable_Name,ltable_Category,ltable_Author,ltable_Price,ltable_Series,ltable_Pages,ltable_Publisher,ltable_Date,ltable_Language,ltable_ISBN_10,ltable_ISBN_13,ltable_Dimensions,ltable_Weight,rtable_Name,rtable_Category,rtable_Author,rtable_Price,rtable_Series,rtable_Pages,rtable_Publisher,rtable_Date,rtable_Language,rtable_ISBN_10,rtable_ISBN_13,rtable_Dimensions,rtable_Weight
32,30,21,The Quantum Magician,Science Fiction : Space Opera,Derek Kunsken,$11.99,,480 pages,Solaris,"""October 2, 2018""",English,1781085706,978-1781085707,5.5 x 7.8 inches,1.1 pounds,The Quantum Magician,Science Fiction - Space Opera,Derek Kunsken,$11.99,,480.0,Solaris,October 2018,,1781085706,9781781085707,,
33,35,22,Outer Dark (Carcharodons),Science Fiction : Space Opera,Robbie MacNiven,$12.25,Carcharodons,400 pages,Games Workshop,"""September 18, 2018""",English,1784967718,978-1784967710,5.1 x 7.8 inches,1.1 pounds,Outer Dark,Science Fiction - Space Opera,Robbie MacNiven,$13.11,,400.0,Games Workshop,September 2018,,1784967718,9781784967710,,
34,39,23,Deep Blue (Second Species Trilogy),Science Fiction : Space Opera,Jane O'Reilly,$22.99,Second Species Trilogy,336 pages,Piatkus,"""September 11, 2018""",English,0349416621,978-0349416625,,1.1 pounds,Deep Blue,Science Fiction - Space Opera,Jane O'Reilly,$22.99,,336.0,Piatkus,September 2018,,0349416621,9780349416625,,
35,42,24,Watchers of the Throne: The Emperor's Legion,Science Fiction : Space Opera,Chris Wraight,$12.18,Watchers of the Throne,352 pages,Games Workshop,"""September 4, 2018""",English,178496767X,978-1784967673,5.1 x 7.8 inches,1.1 pounds,Watchers of the Throne  :  The Emperor's Legion,Science Fiction - Space Opera,Chris Wraight,$13.11,,352.0,Games Workshop,September 2018,,178496767X,9781784967673,,
36,106,24,The Carrion Throne (Vaults of Terra),Science Fiction : Space Opera,Chris Wraight,$16.00,Vaults of Terra (Book 1),384 pages,Games Workshop; Reprint edition,"""May 29, 2018""",English,1784966916,978-1784966911,5.1 x 1 x 7.8 inches,9.6 ounces,Watchers of the Throne  :  The Emperor's Legion,Science Fiction - Space Opera,Chris Wraight,$13.11,,352.0,Games Workshop,September 2018,,178496767X,9781784967673,,
37,34,25,Challenger's Hope (The Seafort Saga),Science Fiction : Space Opera,David Feintuch,$12.11,The Seafort Saga (Book 2),405 pages,Open Road Media Sci-Fi & Fantasy,"""September 25, 2018""",English,1504052900,978-1504052900,5.2 x 8 inches,1.1 pounds,Challenger's Hope,Science Fiction - Space Opera,David Feintuch,$12.95,,405.0,Open Road Media Science & Fantasy,September 2018,,1504052900,9781504052900,,
38,44,26,Daughters of Forgotten Light,Science Fiction : Space Opera,Sean Grigsby,$9.20,,400 pages,Angry Robot,"""September 4, 2018""",English,0857667955,978-0857667953,,13 ounces,Daughters of Forgotten Light,Science Fiction - Space Opera,Sean Grigs,$9.87,,400.0,Angry Robot,September 2018,,0857667955,9780857667953,,
39,40,28,Of Honour and Iron (Space Marine Conquests),Science Fiction : Space Opera,Ian St Martin,$12.39,Space Marine Conquests,352 pages,Games Workshop,"""September 4, 2018""",English,1784967688,978-1784967680,5.1 x 7.8 inches,1.1 pounds,Of Honour and Iron,Science Fiction - Space Opera,Ian St Martin,$13.27,,352.0,Games Workshop,September 2018,,1784967688,9781784967680,,
40,36,29,Beyond the Gates of Antares: Void Protocol (Beyond Antares),Science Fiction : Space Opera,Riley O'Connor,$13.65,Beyond Antares,320 pages,Zmok Books,"""September 18, 2018""",English,1945430710,978-1945430718,6 x 0.6 x 9 inches,1.1 pounds,Beyond the Gates of Antares  :  Void Protocol,Science Fiction - Space Opera,Riley O'Connor,$14.69,,320.0,Zmok Books,September 2018,,1945430710,9781945430718,,
41,33,30,The Game of Luck (A Felicia Sevigny Novel),Science Fiction : Space Opera,Catherine Cerveny,$15.99,A Felicia Sevigny Novel (Book 3),384 pages,Orbit,"""September 25, 2018""",English,031644166X,978-0316441667,,1.1 pounds,The Game of Luck,Science Fiction - Space Opera,Catherine Cerveny,$14.20,,384.0,Orbit,September 2018,,031644166X,9780316441667,,
42,1948,30,The Wish,Fantasy : Dark,Catherine Stovall,$6.99,,57 pages,Independently published,"""November 16, 2017""",English,197332007X,978-1973320074,5.2 x 0.1 x 8 inches,4.2 ounces,The Game of Luck,Science Fiction - Space Opera,Catherine Cerveny,$14.20,,384.0,Orbit,September 2018,,031644166X,9780316441667,,
43,1698,31,The Bruja,Fantasy : Dark,Michael Molisani,$20.99,,268 pages,AuthorHouse,"""December 29, 2017""",English,1546222537,978-1546222538,6 x 0.6 x 9 inches,1 pounds,The Madness of Mr. Butler,Science Fiction - Space Opera,Michael Haase,$13.99,,240.0,Inkshares,September 2018,,1942645392,9781942645399,,
44,2343,31,The Restorer,Psychological Thrillers,Michael Sala,$15.95,,352 pages,Text Publishing Company,"""April 17, 2018""",English,1925355020,978-1925355024,6 x 1.1 x 9.2 inches,11.4 ounces,The Madness of Mr. Butler,Science Fiction - Space Opera,Michael Haase,$13.99,,240.0,Inkshares,September 2018,,1942645392,9781942645399,,
45,46,31,The Madness of Mr. Butler,Science Fiction : Space Opera,Michael Haase,$13.99,,240 pages,Inkshares,"""September 1, 2018""",English,1942645392,978-1942645399,,,The Madness of Mr. Butler,Science Fiction - Space Opera,Michael Haase,$13.99,,240.0,Inkshares,September 2018,,1942645392,9781942645399,,
46,43,32,The Accidental War: A Novel,Science Fiction : Space Opera,Walter Jon Williams,$16.99,,560 pages,Harper Voyager,"""September 4, 2018""",English,0062467026,978-0062467027,5.3 x 1.3 x 8 inches,10.4 ounces,The Accidental War,Science Fiction - Space Opera,Walter Jon Williams,$16.99,,560.0,Voyager,September 2018,,0062467026,9780062467027,,
47,55,33,The Burden of Loyalty (The Horus Heresy),Science Fiction : Space Opera,Laurie Goulding,$18.00,The Horus Heresy (Book 48),432 pages,Games Workshop,"""August 7, 2018""",English,1784967521,978-1784967529,6 x 9.2 inches,1.1 pounds,The Burden of Loyalty,Science Fiction - Space Opera,Laurie Goulding,$18.00,,432.0,Games Workshop,August 2018,,1784967521,9781784967529,,
48,52,34,The Million,Science Fiction : Space Opera,Karl Schroeder,$14.99,,192 pages,Tor.com,"""August 14, 2018""",English,1250185424,978-1250185426,5 x 8 inches,1.1 pounds,The Million,Science Fiction - Space Opera,Karl Schroeder,$14.99,,192.0,Tor.com,August 2018,,1250185424,9781250185426,,
49,7,35,"""Legend of the Galactic Heroes, Vol. 8: Desolation""",Science Fiction : Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,Legend of the Galactic Heroes (Book 8),224 pages,Haikasoru,"""December 11, 2018""",English,1421585014,978-1421585017,5.2 x 8 inches,1.1 pounds,"""Legend of the Galactic Heroes, Vol. 7  :  Tempest""",Science Fiction - Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,,224.0,Haikasoru,August 2018,,1421585294,9781421585291,,
50,49,35,"""Legend of the Galactic Heroes, Vol. 7: Tempest""",Science Fiction : Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,Legend of the Galactic Heroes (Book 7),224 pages,Haikasoru,"""August 21, 2018""",English,1421585294,978-1421585291,5.2 x 8 inches,1.1 pounds,"""Legend of the Galactic Heroes, Vol. 7  :  Tempest""",Science Fiction - Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,,224.0,Haikasoru,August 2018,,1421585294,9781421585291,,
51,126,35,"""Legend of the Galactic Heroes, Vol. 6: Flight""",Science Fiction : Space Opera,Yoshiki Tanaka and Tyran Grillo,$15.99,Legend of the Galactic Heroes (Book 6),224 pages,Haikasoru,"""April 17, 2018""",English,1421584999,978-1421584997,5.2 x 0.6 x 8 inches,7.5 ounces,"""Legend of the Galactic Heroes, Vol. 7  :  Tempest""",Science Fiction - Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,,224.0,Haikasoru,August 2018,,1421585294,9781421585291,,
52,805,35,"""Legend of the Galactic Heroes, Vol. 5: Mobilization""",Science Fiction : Space Opera,Yoshiki Tanaka and Tyran Grillo,$9.34,Legend of the Galactic Heroes (Book 5),272 pages,Haikasoru,"""November 21, 2017""",English,1421584980,978-1421584980,5.2 x 0.6 x 8 inches,7.8 ounces,"""Legend of the Galactic Heroes, Vol. 7  :  Tempest""",Science Fiction - Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,,224.0,Haikasoru,August 2018,,1421585294,9781421585291,,
53,54,36,Noumenon Infinity,Science Fiction : Space Opera,Marina J. Lostetter,$16.99,Noumenon,496 pages,Harper Voyager,"""August 14, 2018""",English,0062497863,978-0062497864,5.3 x 8 inches,10.4 ounces,Noumenon Infinity,Science Fiction - Space Opera,Marina J. Lostetter,$16.99,,496.0,Voyager,August 2018,,0062497863,9780062497864,,
54,47,37,Irontown Blues (Eight Worlds),Science Fiction : Space Opera,John Varley,$11.34,Eight Worlds (Book 4),304 pages,Ace,"""August 28, 2018""",English,1101989378,978-1101989371,5.1 x 0.8 x 8 inches,9 ounces,Irontown Blues,Science Fiction - Space Opera,John Varley,$12.16,,304.0,Ace Books,August 2018,,1101989378,9781101989371,8 x 5.13 x 0.75 inches,0.55 pounds
55,51,38,Servants of the Machine God (Adeptus Mechanicus),Science Fiction : Space Opera,Various,$16.00,Adeptus Mechanicus,416 pages,Games Workshop,"""August 21, 2018""",English,1784967599,978-1784967598,5.1 x 7.8 inches,1.1 pounds,Servants of the Machine God,Science Fiction - Space Opera,Various,$16.00,,416.0,Games Workshop,August 2018,,1784967599,9781784967598,,
56,53,39,Exile's Throne: The Empress Game Trilogy 3,Science Fiction : Space Opera,Rhonda Mason,$14.95,Empress Game Trilogy (Book 3),352 pages,Titan Books,"""August 14, 2018""",English,1783299452,978-1783299454,,13 ounces,Exile's Throne  :  The Empress Game Trilogy 3,Science Fiction - Space Opera,Rhonda Mason,$14.95,,352.0,Titan Books (UK),August 2018,,1783299452,9781783299454,,0.81 pounds
57,58,40,Knightsblade (Imperial Knights),Science Fiction : Space Opera,Andy Clark,$16.00,Imperial Knights (Book 2),400 pages,Games Workshop,"""August 7, 2018""",English,1784967548,978-1784967543,5.1 x 7.8 inches,1.1 pounds,Knightsblade,Science Fiction - Space Opera,Andy Clark,$16.00,,400.0,Games Workshop,August 2018,,1784967548,9781784967543,,
58,57,41,War for Armageddon: The Omnibus (Warhammer 40000),Science Fiction : Space Opera,Various,$21.00,Warhammer 40000,880 pages,Games Workshop,"""August 7, 2018""",English,1784967556,978-1784967550,5.1 x 7.8 inches,1.1 pounds,War for Armageddon  :  The Omnibus,Science Fiction - Space Opera,Various,$21.00,,880.0,Games Workshop,August 2018,,1784967556,9781784967550,,
59,56,42,Lukas the Trickster,Science Fiction : Space Opera,Josh Reynolds,$16.00,Lukas the Trickster (Book 1),344 pages,Games Workshop,"""August 7, 2018""",English,1784967564,978-1784967567,5.1 x 7.8 inches,1.1 pounds,Lukas the Trickster,Science Fiction - Space Opera,Josh Reynolds,$16.00,,344.0,Games Workshop,August 2018,,1784967564,9781784967567,,
60,1823,42,Through the Frost,Fantasy : Dark,Josh Greer,$15.99,,,"""Page Publishing, Inc.""","""December 6, 2017""",English,1640827471,978-1640827479,6 x 0.8 x 9 inches,1.1 pounds,Lukas the Trickster,Science Fiction - Space Opera,Josh Reynolds,$16.00,,344.0,Games Workshop,August 2018,,1784967564,9781784967567,,
61,67,43,Ghosts of War: Retribution,Science Fiction : Space Opera,Paul Robinson,$14.99,,,Quill,"""July 17, 2018""",English,1947848909,978-1947848900,,1.1 pounds,Ghosts of War  :  Retribution,Science Fiction - Space Opera,Paul Robinson,$14.99,,,Quill,July 2018,,1947848909,9781947848900,,
62,75,44,Assault on Black Reach (Black Library Summer Reading),Science Fiction : Space Opera,Nick Kyme,$5.00,Black Library Summer Reading (Book 2),128 pages,Games Workshop,"""July 10, 2018""",English,1784967475,978-1784967475,5.1 x 7.8 inches,1.1 pounds,Assault on Black Reach,Science Fiction - Space Opera,Nick Kyme,$5.00,,128.0,Games Workshop,July 2018,,1784967475,9781784967475,,
63,72,45,Condomnauts,Science Fiction : Space Opera,Yoss and David Frye,$11.56,,176 pages,Restless Books; Not for Online ed. edition,"""July 10, 2018""",English,1632061864,978-1632061867,5.5 x 8.2 inches,1.1 pounds,Condomnauts,Science Fiction - Space Opera,Yoss and David Frye,$12.45,,176.0,Restless Books,July 2018,,1632061864,9781632061867,,
64,70,46,Sin of Damnation (Black Library Summer Reading),Science Fiction : Space Opera,Gav Thorpe,$5.00,Black Library Summer Reading (Book 3),128 pages,Games Workshop,"""July 10, 2018""",English,1784967483,978-1784967482,5.1 x 7.8 inches,1.1 pounds,Sin of Damnation,Science Fiction - Space Opera,Gav Thorpe,$5.00,,128.0,Games Workshop,July 2018,,1784967483,9781784967482,,
65,69,47,Wolf King (Black Library Summer Reading),Science Fiction : Space Opera,Chris Wraight,$5.00,Black Library Summer Reading (Book 4),128 pages,Games Workshop,"""July 10, 2018""",English,1784967491,978-1784967499,5.1 x 7.8 inches,1.1 pounds,Wolf King,Science Fiction - Space Opera,Chris Wraight,$5.00,,128.0,Games Workshop,July 2018,,1784967491,9781784967499,,
66,73,48,Crusade (Black Library Summer Reading),Science Fiction : Space Opera,Andy Clark,$5.00,Black Library Summer Reading (Book 1),128 pages,Games Workshop,"""July 10, 2018""",English,1784967467,978-1784967468,5.1 x 7.8 inches,1.1 pounds,Crusade,Science Fiction - Space Opera,Andy Clark,$5.00,,128.0,Games Workshop,July 2018,,1784967467,9781784967468,,
67,77,49,Space Unicorn Blues,Science Fiction : Space Opera,TJ Berry,$12.99,,400 pages,Angry Robot,"""July 3, 2018""",English,0857667815,978-0857667816,,13 ounces,Space Unicorn Blues,Science Fiction - Space Opera,Tj Berry,$12.99,,400.0,Angry Robot,July 2018,,0857667815,9780857667816,,
68,62,50,Record of a Spaceborn Few (Wayfarers),Science Fiction : Space Opera,Becky Chambers,$16.99,Wayfarers (Book 3),400 pages,Harper Voyager,"""July 24, 2018""",English,0062699229,978-0062699220,5.3 x 0.9 x 8 inches,10.4 ounces,Record of a Spaceborn Few,Science Fiction - Space Opera,Becky Chambers,$16.99,,400.0,Voyager,July 2018,,0062699229,9780062699220,,
69,71,51,Black Legion,Science Fiction : Space Opera,Aaron Dembski-Bowden,$16.00,Black Legion (Book 2),368 pages,Games Workshop; Reprint edition,"""July 10, 2018""",English,178496753X,978-1784967536,5.1 x 7.8 inches,1.1 pounds,Black Legion,Science Fiction - Space Opera,Aaron Dembski-Bowden,$16.00,,368.0,Games Workshop,July 2018,,178496753X,9781784967536,,
